nohup: 忽略输入
2023-08-26 20:01:49.166119: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-26 20:01:49.625335: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/yanglj/Desktop/restoration/ECSC-Net/core/ECSCNet.py:53: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  z = F.conv2d(z, D, stride=stride)
Iter 22.105K-> avg_loss: 0.0025, avg_psnr: 27.1672, cur_loss: 0.0016, cur_psnr: 27.8513, LR= 1.40000e-04, index: [388],
Iter 22.305K-> avg_loss: 0.0025, avg_psnr: 27.1724, cur_loss: 0.0012, cur_psnr: 29.3512, LR= 1.40000e-04, index: [5101],
Iter 22.505K-> avg_loss: 0.0025, avg_psnr: 27.1445, cur_loss: 0.0011, cur_psnr: 29.4246, LR= 1.40000e-04, index: [5053],
Iter 22.705K-> avg_loss: 0.0025, avg_psnr: 27.1052, cur_loss: 0.0076, cur_psnr: 21.1765, LR= 1.40000e-04, index: [4458],
Iter 22.905K-> avg_loss: 0.0025, avg_psnr: 27.1303, cur_loss: 0.0025, cur_psnr: 26.1078, LR= 1.40000e-04, index: [1190],
Iter 23.105K-> avg_loss: 0.0025, avg_psnr: 27.1246, cur_loss: 0.0018, cur_psnr: 27.5378, LR= 1.40000e-04, index: [655],
Iter 23.305K-> avg_loss: 0.0025, avg_psnr: 27.1083, cur_loss: 0.0044, cur_psnr: 23.5537, LR= 1.40000e-04, index: [5029],
Iter 23.505K-> avg_loss: 0.0025, avg_psnr: 27.1177, cur_loss: 0.0043, cur_psnr: 23.6410, LR= 1.40000e-04, index: [4260],
Iter 23.705K-> avg_loss: 0.0025, avg_psnr: 27.1145, cur_loss: 0.0022, cur_psnr: 26.4788, LR= 1.40000e-04, index: [2798],
Iter 23.905K-> avg_loss: 0.0025, avg_psnr: 27.1359, cur_loss: 0.0013, cur_psnr: 28.9073, LR= 1.40000e-04, index: [1426],
Iter 24.105K-> avg_loss: 0.0025, avg_psnr: 27.1178, cur_loss: 0.0013, cur_psnr: 28.9509, LR= 1.40000e-04, index: [859],
Iter 24.305K-> avg_loss: 0.0025, avg_psnr: 27.1321, cur_loss: 0.0010, cur_psnr: 29.8136, LR= 1.40000e-04, index: [713],
Iter 24.505K-> avg_loss: 0.0025, avg_psnr: 27.1339, cur_loss: 0.0019, cur_psnr: 27.2553, LR= 1.40000e-04, index: [732],
Iter 24.705K-> avg_loss: 0.0025, avg_psnr: 27.1529, cur_loss: 0.0009, cur_psnr: 30.6416, LR= 1.40000e-04, index: [3629],
Iter 24.905K-> avg_loss: 0.0025, avg_psnr: 27.1594, cur_loss: 0.0012, cur_psnr: 29.0697, LR= 1.40000e-04, index: [697],
Iter 25.105K-> avg_loss: 0.0025, avg_psnr: 27.1495, cur_loss: 0.0018, cur_psnr: 27.4530, LR= 1.40000e-04, index: [1110],
Iter 25.305K-> avg_loss: 0.0025, avg_psnr: 27.1435, cur_loss: 0.0047, cur_psnr: 23.2813, LR= 1.40000e-04, index: [1023],
Iter 25.505K-> avg_loss: 0.0025, avg_psnr: 27.1525, cur_loss: 0.0030, cur_psnr: 25.1956, LR= 1.40000e-04, index: [3757],
Iter 25.705K-> avg_loss: 0.0025, avg_psnr: 27.1598, cur_loss: 0.0015, cur_psnr: 28.1463, LR= 1.40000e-04, index: [2317],
training epoch    5 consumed time : 3.63min
test-> epoch:    5, avg_loss: 0.0030, avg_psnr: 25.9645, Time consumed:0.12min
-----------------------------------------------------------

Iter 25.881K-> avg_loss: 0.0016, avg_psnr: 27.8502, cur_loss: 0.0016, cur_psnr: 27.8502, LR= 1.40000e-04, index: [2199],
Iter 26.081K-> avg_loss: 0.0026, avg_psnr: 27.0007, cur_loss: 0.0047, cur_psnr: 23.3040, LR= 1.40000e-04, index: [4015],
Iter 26.281K-> avg_loss: 0.0025, avg_psnr: 27.2143, cur_loss: 0.0009, cur_psnr: 30.4494, LR= 1.40000e-04, index: [1814],
Iter 26.481K-> avg_loss: 0.0025, avg_psnr: 27.1976, cur_loss: 0.0014, cur_psnr: 28.5803, LR= 1.40000e-04, index: [714],
Iter 26.681K-> avg_loss: 0.0025, avg_psnr: 27.1559, cur_loss: 0.0012, cur_psnr: 29.2625, LR= 1.40000e-04, index: [560],
Iter 26.881K-> avg_loss: 0.0025, avg_psnr: 27.1831, cur_loss: 0.0027, cur_psnr: 25.6447, LR= 1.40000e-04, index: [117],
Iter 27.081K-> avg_loss: 0.0025, avg_psnr: 27.2229, cur_loss: 0.0040, cur_psnr: 24.0288, LR= 1.40000e-04, index: [2096],
Iter 27.281K-> avg_loss: 0.0025, avg_psnr: 27.2223, cur_loss: 0.0004, cur_psnr: 34.3140, LR= 1.40000e-04, index: [3548],
Iter 27.481K-> avg_loss: 0.0025, avg_psnr: 27.1898, cur_loss: 0.0037, cur_psnr: 24.3604, LR= 1.40000e-04, index: [4134],
Iter 27.681K-> avg_loss: 0.0025, avg_psnr: 27.1999, cur_loss: 0.0023, cur_psnr: 26.3243, LR= 1.40000e-04, index: [1350],
Iter 27.881K-> avg_loss: 0.0025, avg_psnr: 27.2079, cur_loss: 0.0011, cur_psnr: 29.6060, LR= 1.40000e-04, index: [2928],
Iter 28.081K-> avg_loss: 0.0025, avg_psnr: 27.1942, cur_loss: 0.0017, cur_psnr: 27.7542, LR= 1.40000e-04, index: [2150],
Iter 28.281K-> avg_loss: 0.0025, avg_psnr: 27.1847, cur_loss: 0.0027, cur_psnr: 25.6297, LR= 1.40000e-04, index: [2912],
Iter 28.481K-> avg_loss: 0.0025, avg_psnr: 27.2181, cur_loss: 0.0015, cur_psnr: 28.2007, LR= 1.40000e-04, index: [733],
Iter 28.681K-> avg_loss: 0.0025, avg_psnr: 27.1922, cur_loss: 0.0033, cur_psnr: 24.7886, LR= 1.40000e-04, index: [4220],
Iter 28.881K-> avg_loss: 0.0025, avg_psnr: 27.2156, cur_loss: 0.0007, cur_psnr: 31.3678, LR= 1.40000e-04, index: [4498],
Iter 29.081K-> avg_loss: 0.0025, avg_psnr: 27.1909, cur_loss: 0.0043, cur_psnr: 23.6513, LR= 1.40000e-04, index: [2028],
